Locality,Site,Transect,Abundance
Akumal,Langosta,1,8
Akumal,Langosta,2,1
Akumal,Langosta,3,22
Akumal,Langosta,4,3
Akumal,Langosta,5,8
Akumal,Langosta,6,18
Akumal,Langosta,7,0
Akumal,Langosta,8,0
Akumal,Dicks,1,13
Akumal,Dicks,2,26
Akumal,Dicks,3,21
Akumal,Dicks,4,14
Akumal,Dicks,5,8
Akumal,Dicks,6,11
Akumal,Dicks,7,2
Akumal,Dicks,8,1
Akumal,Yal Ku,1,7
Akumal,Yal Ku,2,30
Akumal,Yal Ku,3,7
Akumal,Yal Ku,4,7
Akumal,Yal Ku,5,12
Akumal,Yal Ku,6,4
Akumal,Yal Ku,7,18
Akumal,Yal Ku,8,5
Punta Allen,Punta Allen C,1,16
Punta Allen,Punta Allen C,2,15
Punta Allen,Punta Allen C,3,14
Punta Allen,Punta Allen C,4,24
Punta Allen,Punta Allen C,5,5
Punta Allen,Punta Allen C,6,7
Punta Allen,Punta Allen C,7,4
Punta Allen,Punta Allen C,8,6
Punta Allen,Punta Allen N,1,9
Punta Allen,Punta Allen N,2,3
Punta Allen,Punta Allen N,3,8
Punta Allen,Punta Allen N,4,15
Punta Allen,Punta Allen N,5,22
Punta Allen,Punta Allen N,6,6
Punta Allen,Punta Allen N,7,19
Punta Allen,Punta Allen N,8,11
Punta Allen,San Antonio,1,25
Punta Allen,San Antonio,2,10
Punta Allen,San Antonio,3,4
Punta Allen,San Antonio,4,2
Punta Allen,San Antonio,5,11
Punta Allen,San Antonio,6,3
Punta Allen,San Antonio,7,14
Punta Allen,San Antonio,8,0
Punta Maroma,Mar F5,1,4
Punta Maroma,Mar F5,2,17
Punta Maroma,Mar F5,3,11
Punta Maroma,Mar F5,4,9
Punta Maroma,Mar F5,5,15
Punta Maroma,Mar F5,6,5
Punta Maroma,Mar F5,7,7
Punta Maroma,Mar F5,8,4
